tier_id,display_name,hf_repo,base_model,params,disk_gb,min_ram_gb,context_default,context_max,m1_ultra_toks,ram_peak_gb,verified,source
nano,Outlier Nano,Outlier-Ai/Outlier-Nano-4B-MLX-4bit,Qwen3.5-4B,4B dense,2.37,6,32768,262144,71.7,3,true,FINAL_LAUNCH_NUMBERS.md (mac_bench_v2.json 2026-04-29 n=5)
lite,Outlier Lite,Outlier-Ai/Outlier-Lite-9B-MLX-4bit,Qwen3.5-9B,9B dense,5.04,12,32768,262144,53.4,5.5,true,FINAL_LAUNCH_NUMBERS.md
quick,Outlier Quick,Outlier-Ai/Outlier-Quick-26B-MLX-4bit,Gemma-4-26B-a4b-it,26B MoE / 4B active,15.61,16,32768,262144,14.6,16,true,FINAL_LAUNCH_NUMBERS.md
compact,Outlier Core,Outlier-Ai/Outlier-Core-27B-MLX-4bit,Qwen3.6-27B,27B dense,15.13,24,32768,262144,20.7,16,true,FINAL_LAUNCH_NUMBERS.md
code,Outlier Code,Outlier-Ai/Outlier-Code-27B-MLX-4bit,Qwen3.6-27B,27B dense,15.13,24,65536,262144,20.7,16,true,FINAL_LAUNCH_NUMBERS.md (shares Core weights)
plus,Outlier Plus,mlx-community/Qwen3.5-397B-A17B-4bit,Qwen3.5-397B-A17B,397B MoE / 17B active,209,64,32768,262144,1.59,14.04,true,K_SWEEP_RESULTS.md (K=20 5/5 coh 2026-05-01)
vision38,Outlier Vision 3.8,mlx-community/Qwen3.8-27B-4bit,Qwen3.8-27B,27B dense,15.5,24,32768,32768,17.2,18.6,true,"measured 2026-08-19 on M1 Ultra via mlx_vlm 0.6.15 (48-token short-run aggregate); ships in 1.11.792 — verified against the shipped sidecar, /health reports 8 tiers including vision38"
